Technology,ISORTO,Plant Code,Nameplate Capacity (MW),LAT,LON,PLHTIAN,PLNGENAN,FC,MC
Onshore Wind Turbine,PJM,79511,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79512,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79513,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79514,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79515,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79516,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79517,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79518,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79519,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79520,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79521,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79522,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79523,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79524,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79525,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79526,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79527,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79528,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79529,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79530,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79531,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79532,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79533,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79534,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79535,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79536,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79537,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79538,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79539,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79540,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79541,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79542,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79543,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79544,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79545,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79546,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79547,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79548,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79549,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79550,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79551,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79552,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79553,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79554,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79555,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79556,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79557,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79558,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79559,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79560,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79561,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79562,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79563,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79564,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79565,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79566,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79567,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79568,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79569,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79570,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79571,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79572,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79573,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79574,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79575,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79576,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79577,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79578,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79579,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79580,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79581,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79582,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79583,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79584,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79585,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
Onshore Wind Turbine,PJM,79586,82.78382352941176,36.5,-85.0,0.0, ,0.0,0.0
