Technology,ISORTO,Plant Code,Nameplate Capacity (MW),LAT,LON,PLHTIAN,PLNGENAN,FC,MC
Solar Photovoltaic,PJM,66486,4.2,41.081,-74.174,,3394.0,0.0,0.0
Solar Photovoltaic,PJM,66485,2.4,39.886,-75.109,,3268.0,0.0,0.0
Solar Photovoltaic,PJM,66250,49.9,41.092297,-84.725702,,25041.0,0.0,0.0
Solar Photovoltaic,PJM,66249,49.9,41.091714,-84.274371,,24662.0,0.0,0.0
Solar Photovoltaic,PJM,66367,4.4,39.8136,-84.95814,,986.0,0.0,0.0
Solar Photovoltaic,PJM,65705,6.3,40.74525,-74.34379,,7672.0,0.0,0.0
Solar Photovoltaic,PJM,65691,1.0,41.27874,-80.83665,,1619.0,0.0,0.0
Solar Photovoltaic,PJM,65758,2.0,41.185,-88.231,,1057.0,0.0,0.0
Solar Photovoltaic,PJM,65756,2.0,39.628867,-77.874899,,1828.0,0.0,0.0
Solar Photovoltaic,PJM,65623,1.6,39.551,-74.627,,2466.0,0.0,0.0
Solar Photovoltaic,PJM,65622,2.1,39.48,-74.516,,3469.0,0.0,0.0
Solar Photovoltaic,PJM,65658,6.0,39.831654,-74.999234,,8739.0,0.0,0.0
Solar Photovoltaic,PJM,66021,2.7,39.85853,-75.010346,,3824.0,0.0,0.0
Solar Photovoltaic,PJM,66020,4.4,39.907271,-75.046925,,5859.0,0.0,0.0
Solar Photovoltaic,PJM,66019,20.0,40.472,-75.785,,622.0,0.0,0.0
Solar Photovoltaic,PJM,66010,4.2,39.943015,-83.317748,,2586.0,0.0,0.0
Solar Photovoltaic,PJM,65999,70.0,39.923887,-78.041221,,885.0,0.0,0.0
Solar Photovoltaic,PJM,66028,3.2,39.921831,-75.092539,,4319.0,0.0,0.0
Solar Photovoltaic,PJM,66049,1.1,39.95526,-75.10218,,1560.0,0.0,0.0
Solar Photovoltaic,PJM,65985,3.8,41.049604,-81.581577,,2341.0,0.0,0.0
Solar Photovoltaic,PJM,65984,2.0,39.300615,-76.960961,,1058.0,0.0,0.0
Solar Photovoltaic,PJM,65983,2.0,39.300067,-76.957131,,1338.0,0.0,0.0
Solar Photovoltaic,PJM,65800,2.0,41.894383,-88.771303,,432.0,0.0,0.0
Solar Photovoltaic,PJM,65799,2.0,41.893409,-88.771045,,447.0,0.0,0.0
Solar Photovoltaic,PJM,65796,2.0,42.201229,-89.608809,,460.0,0.0,0.0
Solar Photovoltaic,PJM,65791,1.5,39.18568,-75.68538,,2746.0,0.0,0.0
Solar Photovoltaic,PJM,66069,3.1,41.548503,-83.578654,,906.0,0.0,0.0
Solar Photovoltaic,PJM,65982,2.0,39.299137,-76.959953,,981.0,0.0,0.0
Solar Photovoltaic,PJM,65961,1.7,38.84066,-76.9752,,956.0,0.0,0.0
Solar Photovoltaic,PJM,65960,1.7,38.85034,-76.9573,,29.0,0.0,0.0
Solar Photovoltaic,PJM,65958,1.1,38.86499,-76.994006,,242.0,0.0,0.0
Solar Photovoltaic,PJM,65945,1.7,38.99903,-77.058,2000.001,2226.0,0.0,0.0
Solar Photovoltaic,PJM,65890,2.0,42.201355,-89.610992,,450.0,0.0,0.0
Solar Photovoltaic,PJM,66537,1.5,39.270749,-76.551326,,2432.0,0.0,0.0
Solar Photovoltaic,PJM,67368,1.5,40.528289,-74.435463,,2473.0,0.0,0.0
Solar Photovoltaic,PJM,67297,2.0,39.683539,-76.739094,,1444.0,0.0,0.0
Solar Photovoltaic,PJM,67294,1.2,40.479292,-74.437087,,0.0,0.0,0.0
Solar Photovoltaic,PJM,67404,2.0,39.70285,-78.08261,,98.0,0.0,0.0
Solar Photovoltaic,PJM,67401,1.3,40.524806,-74.467186,,0.0,0.0,0.0
Solar Photovoltaic,PJM,67397,2.0,39.70381,-75.94323,,1271.0,0.0,0.0
Solar Photovoltaic,PJM,67374,5.0,36.727159,-79.506486,,11133.0,0.0,0.0
Solar Photovoltaic,PJM,67373,5.0,36.727159,-79.506486,,11110.0,0.0,0.0
Solar Photovoltaic,PJM,67292,1.5,40.522282,-74.472597,,0.0,0.0,0.0
Solar Photovoltaic,PJM,67225,4.9,37.553598,-79.017296,,2036.0,0.0,0.0
Solar Photovoltaic,PJM,67172,17.0,36.323266,-77.010069,,18139.0,0.0,0.0
Solar Photovoltaic,PJM,67163,11.0,41.343,-85.092,,16355.0,0.0,0.0
Solar Photovoltaic,PJM,67161,120.0,36.526492,-77.774039,,,0.0,0.0
Solar Photovoltaic,PJM,67145,8.2,39.563,-77.183,,12274.0,0.0,0.0
Solar Photovoltaic,PJM,67235,5.0,37.8893,-78.323,,5715.0,0.0,0.0
Solar Photovoltaic,PJM,67239,577.0,39.777493,-83.367069,,7995.24,0.0,0.0
Solar Photovoltaic,PJM,67274,0.5,39.680519,-75.003409,,0.0,0.0,0.0
Solar Photovoltaic,PJM,67274,1.3,39.680519,-75.003409,,0.0,0.0,0.0
Solar Photovoltaic,PJM,67273,1.0,39.682767,-75.010939,,0.0,0.0,0.0
Solar Photovoltaic,PJM,67273,1.6,39.682767,-75.010939,,0.0,0.0,0.0
Solar Photovoltaic,PJM,67272,1.4,39.201562,-78.213908,,2038.0,0.0,0.0
Solar Photovoltaic,PJM,67270,3.8,39.221979,-76.483169,,2611.0,0.0,0.0
Solar Photovoltaic,PJM,67269,4.2,40.025166,-74.249492,,4469.0,0.0,0.0
Solar Photovoltaic,PJM,67244,1.0,40.39,-84.398,,12.0,0.0,0.0
Solar Photovoltaic,PJM,67243,1.0,39.989,-74.173,,1216.0,0.0,0.0
Solar Photovoltaic,PJM,67811,1.0,40.684,-74.191,,,0.0,0.0
Solar Photovoltaic,PJM,67810,1.0,40.684,-74.191,,,0.0,0.0
